Timestamp,Name,Ticker,Contract Address,Initial Buy In (SOL),Initial Buy In (USD),Initial Market Cap (SOL),Initial Market Cap (USD),Metadata URI,Creator Wallet
2025-11-26T15:03:34.943Z,Trumplican,Trumplican,6EooAAfAgjg2QNHfqAFbS96qWjFCUubVrRp7nDQ9ReKi,82538461.538462,16507692307.69,32.812985,6562.60,https://ipfs.io/ipfs/QmX8eSc69uvbpunCcqR3GfayCh2oWSh81biQ5swdsn7bsf,
2025-11-26T15:03:38.229Z,trump prototype,twump,3DidnfQBVAV8rv8cFXH6TJQSpQW7NkDxf8LbMnAqVZdW,153285714.285714,30657142857.14,38.055297,7611.06,http://93.205.10.67:4141/metadata/PsGPqgkz,
2025-11-26T15:03:39.055Z,Grayscale Dogecoin,GDOG,CSbcqckv2YPuakKouN6bLbRe4vBr8VdWwZ5yCQ6Wpump,81596958.130046,16319391626.01,32.750692,6550.14,https://ipfs.io/ipfs/bafkreicutjglrp4ixq2t5kn6sgpi3q4sszazjicfiu4j7acrmpulkuv6ve,
2025-11-26T15:03:43.776Z,Shoes,Shoes,C5usbynX4D3nET1qZjGHczLLjqniVmzNCfvd9R68pump,706037.126454,141207425.29,27.995824,5599.16,https://ipfs.io/ipfs/bafkreic4zp75bu6bjiab3ue77bbypao7ncuylys23vzxoejt2adcwoirou,
2025-11-26T15:16:04.702Z,meme king 2014,Navy898,BM5eXBxzTt7EmQmSr6bFj5VavWipTQBYeq3RjyHrpump,81596958.130046,16319391626.01,32.750692,6550.14,https://ipfs.io/ipfs/bafkreifibhgez43psyv67g6rjs4vx3ke32s5kny6yzubkdmd74kcl2uy4y,
2025-11-26T15:16:10.226Z,MOLANDAK,MOLANDAK,3mvzQmmbiMveKR4HW8WnA6dH9wYfZ1SvgZdULzsfpump,28511437.542063,5702287508.41,29.506222,5901.24,https://ipfs.io/ipfs/Qme4aspMRnByHyWLsLxkSszkPe8aVQFFAsGicvygwT3pZg,
2025-11-26T15:16:15.063Z,DINO RUNNER,DINO,J6AoZEym3TnU95X4bQLAioZ82ctVUYx4T33xbFv2pump,30877697.777999,6175539555.60,29.640368,5928.07,https://ipfs.io/ipfs/bafkreidakzh3z7pw2teiu7pzfvltsw6izzry3ibnnnix7eptxo57ozuom4,
2025-11-26T15:16:17.817Z,soljak,soljak,5977b5oDcTtaKD7Sxxn3CMSZA2sYWTYiaRmcYBpPpump,34199203.154141,6839840630.83,29.830218,5966.04,https://ipfs.io/ipfs/bafkreicb2megipjhwdmgyf2umwoxomff5roeusudxjkgcha2gg2njlkdvy,
2025-11-26T15:16:23.273Z,Impjak,Impjak,8VzwGEJrQR5ZdVUnu62haanFKA2Pd1zq1chgxAcDpump,17376518.166910,3475303633.38,28.887030,5777.41,https://ipfs.io/ipfs/bafkreias3cvtn5wrnxvlcnjvxpeheuynlfe4uvjyduoyo3zv2jvqmzycym,
2025-11-26T15:16:28.167Z,test,test,3em7mgKds3thMbrwGbLpXJf7NmFvTfGXAq5giBMHpump,353134.727201,70626945.44,27.977406,5595.48,https://ipfs.io/ipfs/bafkreidrshuretfd25gwky6qunyplgelnnuc6hrx2yihtqaoqkasqrxk7q,
